# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: design
# Creation date: 02/16/2026 17:38:55
# 
# 02/16/2026 17:38:55
# The parameters defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5
DP 0,20,0.9,0.899999999999998,17
# 
# A non parametric change occurred and invalidated design point results.
# 02/16/2026 18:05:51
# 
# 
# 02/16/2026 18:12:37
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm],P6 - fillet_size [mm],P7 - Total Deformation Reported Frequency [Hz],P8 - Total Deformation 2 Reported Frequency [Hz],P9 - Total Deformation 3 Reported Frequency [Hz],P10 - Total Deformation 4 Reported Frequency [Hz],P11 - Directional Deformation Maximum [mm],P12 - Equivalent Stress Maximum [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5,P6,P7,P8,P9,P10,P11,P12
DP 0,20,0.5,0.5,17,0.5,109.17326342124117,878.00264138595639,1027.3486272880723,1280.6730713260615,0.021099822595715523,0.27576500916311586
# 
# A non parametric change occurred and invalidated design point results.
# 02/16/2026 18:14:44
# 
DP 0,20,0.5,0.5,17,0.5,129.69838890287167,1023.1786665632244,1126.3681496720969,1293.6487796721794,0.014967151917517185,0.27865601571985948
DP 0,10,0.5,0.5,17,0.5,104.39896611277472,846.30999401928636,969.45111304409784,983.85411112522638,0.023192513734102249,0.30547837510526027
# 
# A non parametric change occurred and invalidated design point results.
# 02/16/2026 19:47:28
# 
# 
# A non parametric change occurred and invalidated design point results.
# 02/19/2026 04:55:35
# 
# 
# 02/19/2026 04:59:06
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm],P6 - fillet_size [mm],P7 - Total Deformation Reported Frequency [Hz],P8 - Total Deformation 2 Reported Frequency [Hz],P9 - Total Deformation 3 Reported Frequency [Hz],P10 - Total Deformation 4 Reported Frequency [Hz],P11 - Directional Deformation Maximum [mm],P12 - Equivalent Stress Maximum [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5,P6,P7,P8,P9,P10,P11,P12
DP 0,5,0.4,0.4,10,0.1,114.06728468554262,771.73168357909356,854.62145189160344,1442.0041459268818,0.19188916683197021,5.994960313338912
DP 0,5,0.4,0.4,12.25,0.1,89.392362359938318,689.07547872814746,720.54472599332541,1055.4569778166983,0.31374946236610413,6.4929710691246409
DP 0,5,0.4,0.4,14.5,0.1,75.1087681806705,608.79504091623983,624.45427815353776,702.547078151183,0.44697639346122742,6.5638216411654717
DP 0,5,0.4,0.4,16.75,0.1,66.306240210698931,495.98562761127323,552.64077187864154,567.354712336602,0.57662159204483032,6.5543313824524727
DP 0,8.75,0.4,0.4,10,0.1,152.73086611544167,1086.168203968271,1122.4453968745588,1449.1778948223323,0.10728120058774948,5.8134871115067064
